"","game_id","off_team_id","OFF_PLAYER_ID","OFF_PLAYER_NAME","def_team_id","DEF_PLAYER_ID","DEF_PLAYER_NAME","MATCHUP_MIN","percentage_total_time_both_on","off_team_name","off_team_abv","off_team_color","def_team_name","def_team_abv","def_team_color","min_played","matchup_min_end","matchup_min_start","pct_matchup_time","OFF_PLAYER_NAME_LAST","DEF_PLAYER_NAME_LAST","pct_matchup_time_scaled","DEF_PLAYER_HEADSHOT","OFF_PLAYER_HEADSHOT","TEAM_NAME","MATCHUP","game_number","matchup_full","matchup_min_start_def","matchup_min_end_def","pct_matchup_time_scaled_def","season"
"39","0042400134",1610612749,1631260,"AJ Green",1610612754,1630167,"Obi Toppin",0.126666666666667,0.032,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",8.00166666666667,7.95333333333333,7.82666666666667,0.0158300354092897,"Green","Toppin",0.0264937993235626,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 4","Round 1: MIL vs. IND, Game 4",4.48666666666667,4.61333333333333,0.0177276390008058,"2024-25"
"40","0042400132",1610612749,1631260,"AJ Green",1610612754,1627783,"Pascal Siakam",0.12,0.037,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",3.665,3.48166666666667,3.36166666666667,0.0327421555252388,"Green","Siakam",0.0320819112627986,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 2","Round 1: MIL vs. IND, Game 2",11.8716666666667,11.9916666666667,0.00127161749745677,"2024-25"
"41","0042400131",1610612749,1631260,"AJ Green",1610612754,1629614,"Andrew Nembhard",0.106666666666667,0.034,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",8.01333333333333,8.01333333333333,7.90666666666667,0.0133111480865225,"Green","Nembhard",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 1","Round 1: MIL vs. IND, Game 1",11.0583333333333,11.165,0,"2024-25"
"42","0042400132",1610612749,1631260,"AJ Green",1610612754,1630167,"Obi Toppin",0.0933333333333333,0.048,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",3.665,3.575,3.48166666666667,0.0254661209640746,"Green","Toppin",0.021160409556314,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 2","Round 1: MIL vs. IND, Game 2",6.605,6.69833333333333,0.0253317249698432,"2024-25"
"43","0042400132",1610612749,1631260,"AJ Green",1610612754,1631097,"Bennedict Mathurin",0.0483333333333333,0.013,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",3.665,3.62333333333333,3.575,0.0131878126421101,"Green","Mathurin",0.00273037542662116,"https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 2","Round 1: MIL vs. IND, Game 2",5.59666666666667,5.645,0,"2024-25"
"44","0042400134",1610612749,1631260,"AJ Green",1610612754,1626167,"Myles Turner",0.0483333333333333,0.012,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",8.00166666666667,8.00166666666667,7.95333333333333,0.00604040824828161,"Green","Turner",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 4","Round 1: MIL vs. IND, Game 4",10.59,10.6383333333333,0.0071599045346062,"2024-25"
"45","0042400132",1610612749,1631260,"AJ Green",1610612754,1628418,"Thomas Bryant",0.0416666666666667,0.023,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",3.665,3.665,3.62333333333333,0.011368804001819,"Green","Bryant",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628418.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 2","Round 1: MIL vs. IND, Game 2",2.52666666666667,2.56833333333333,0.00476190476190476,"2024-25"
"46","0042400135",1610612749,1631260,"AJ Green",1610612754,1641767,"Ben Sheppard",0.0283333333333333,0.02,"Milwaukee Bucks","MIL","#00471B","Indiana Pacers","IND","#002D62",17.8683333333333,17.8683333333333,17.84,0.00158567297826695,"Green","Sheppard",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1641767.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","Milwaukee Bucks","MIL vs. IND","Game 5","Round 1: MIL vs. IND, Game 5",2.80166666666667,2.83,0,"2024-25"
"47","0042400176",1610612743,203932,"Aaron Gordon",1610612746,202695,"Kawhi Leonard",7.11,0.544,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",16.83,7.11,0,0.422459893048128,"Gordon","Leonard",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 6","Round 1: DEN vs. LAC, Game 6",0,7.11,1,"2024-25"
"48","0042400171",1610612743,203932,"Aaron Gordon",1610612746,201935,"James Harden",6.49666666666667,0.433,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,6.49666666666667,0,0.343526923415881,"Gordon","Harden",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",0,6.49666666666667,1,"2024-25"
"49","0042400174",1610612743,203932,"Aaron Gordon",1610612746,201935,"James Harden",6.31,0.374,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",17.93,6.31,0,0.351924149470162,"Gordon","Harden",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 4","Round 1: DEN vs. LAC, Game 4",0,6.31,1,"2024-25"
